Weight,Career MS Recs
230,0.088
213,0.083
216,0.079
225,0.052
228,0.07
195,0.165
210,0.066
206,0.055
203,0.044
239,0.01
194,0.071
208,0.025
222,0.079
222,0.078
209,0.131
213,0.053
233,0.043
234,0.134
254,0.027
220,0.035
219,0.081
223,0.037
233,0.072
203,0.075
238,0.031
227,0.047
207,0.087
203,0.074
210,0.059
200,0.068
201,0.098
200,0.089
229,0.044
220,0.052
227,0.099
225,0.1
228,0.086
197,0.08
207,0.062
225,0.039
237,0.067
232,0.036
180,0.06
225,0.026
230,0.044
217,0.037
215,0.076
205,0.101
228,0.093
210,0.114
215,0.05
219,0.034
225,0.035
199,0.063
228,0.053
193,0.093
207,0.081
212,0.02
202,0.172
192,0.041
198,0.11
223,0.043
227,0.016
211,0.09
233,0.049
199,0.004
227,0.069
203,0.037
231,0.078
209,0.053
240,0.063
221,0.11
218,0.088
215,0.108
219,0.048
246,0.009
204,0.089
214,0.021
201,0.016
220,0.091
212,0.04
224,0.082
209,0.052
210,0.047
204,0.05
223,0.024
195,0.043
223,0.014
205,0.057
201,0.109
217,0.121
217,0.046
222,0.05
196,0.027
217,0.059
217,0.043
226,0.061
233,0.063
237,0.046
218,0.089
204,0.034
186,0.094
196,0.055
206,0.074
209,0.042
221,0.038
242,0.04
213,0.14
207,0.039
235,0.048
218,0.044
199,0.085
198,0.021
200,0.032
197,0.138
204,0.017
243,0.059
261,0.024
232,0.042
209,0.175
220,0.043
214,0.072
229,0.095
233,0.076
212,0.065
210,0.051
222,0.052
233,0.113
233,0.073
237,0.065
222,0.038
211,0.02
218,0.165
220,0.069
233,0.007
229,0.054
221,0.062
214,0
174,0.152
234,0.069
213,0.118
215,0.087
222,0.112
245,0.12
230,0.012
215,0.045
209,0.027
187,0.107
207,0.08
194,0.046
222,0.083
208,0.135
231,0.046
221,0.089
229,0.075
217,0.084
198,0.127
173,0.115
193,0.072
219,0.013
225,0.087
219,0.056
212,0.077
201,0.056
244,0.044
217,0.036
198,0.148
248,0.059
211,0.095
193,0.057
209,0.114
230,0.143
213,0.064
227,0.043
197,0.107
214,0.07
222,0.082
227,0.059
214,0.111
197,0.095
211,0.054
207,0.059
197,0.145
172,0.176
223,0.061
224,0.07
206,0.073
207,0.018
259,0.058
195,0.074
206,0.086
227,0.041
223,0.016
199,0.059
210,0.091
241,0.095
198,0.086
231,0.049
240,0.065
200,0.066
214,0.081
196,0.128
223,0.064
208,0.13
231,0.026
257,0.015
204,0.034
235,0.025
223,0.054
205,0.12
230,0.049
227,0.038
217,0.119
204,0.098
202,0.036
212,0.061
216,0.108
196,0.186
218,0.038
214,0.078
214,0.12
196,0.078
224,0.041
238,0.036
218,0.045
219,0.088
194,0.03
214,0.082
218,0.052
226,0.073
220,0.032
201,0.084
228,0.103
224,0.076
214,0.08
207,0.047
209,0.062
244,0.023
207,0.073
220,0.068
218,0.03
242,0.009
208,0.079
212,0.051
218,0.065
203,0.056
224,0.031
206,0.064
243,0.038
216,0.063
235,0.059
220,0.035
213,0.077
201,0.129
222,0.055
214,0.099
208,0.156
191,0.113
223,0.069
199,0.055
216,0.062
207,0.095